"富士山吉田登山口","男性","女性","X20代","X30代","X40代","X50代","X60代","X70歳以上","居住者","勤務者","来街者","平均男性","平均女性","平均20代","平均30代","平均40代","平均50代","平均60代","平均70歳以上","平均居住者","平均勤務者","平均来街者","Date","Male_Female_Sum","Generation_Sum","Daily_Total_Visitors"
"期間全体",39,0,0,0,0,39,0,0,0,0,39,39,0,0,0,0,39,0,0,0,0,39,2024-07-09,39,39,39
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-10,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-11,0,0,0
"期間全体",36,61,0,0,0,36,0,61,0,0,97,36,61,0,0,0,36,0,61,0,0,97,2024-07-12,97,97,97
"期間全体",55,0,0,0,55,0,0,0,0,55,0,55,0,0,0,55,0,0,0,0,55,0,2024-07-13,55,55,55
"期間全体",0,40,0,0,0,40,0,0,0,0,40,0,40,0,0,0,40,0,0,0,0,40,2024-07-14,40,40,40
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-15,0,0,0
"期間全体",34,0,0,0,0,0,34,0,0,0,34,34,0,0,0,0,0,34,0,0,0,34,2024-07-16,34,34,34
"期間全体",83,0,0,0,0,0,37,46,0,0,83,83,0,0,0,0,0,37,46,0,0,83,2024-07-17,83,83,83
"期間全体",0,64,0,0,64,0,0,0,0,64,0,0,64,0,0,64,0,0,0,0,64,0,2024-07-18,64,64,64
"期間全体",53,43,0,0,0,43,0,53,0,0,96,53,43,0,0,0,43,0,53,0,0,96,2024-07-19,96,96,96
"期間全体",39,0,0,0,0,0,39,0,0,0,39,39,0,0,0,0,0,39,0,0,0,39,2024-07-20,39,39,39
"期間全体",320,0,173,0,67,0,79,0,0,0,320,320,0,173,0,67,0,79,0,0,0,320,2024-07-21,320,319,320
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-22,0,0,0
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-23,0,0,0
"期間全体",0,107,0,0,0,0,107,0,0,0,107,0,107,0,0,0,0,107,0,0,0,107,2024-07-24,107,107,107
"期間全体",33,0,0,0,0,0,0,33,0,0,33,33,0,0,0,0,0,0,33,0,0,33,2024-07-25,33,33,33
"期間全体",90,50,0,0,59,50,31,0,0,0,140,90,50,0,0,59,50,31,0,0,0,140,2024-07-26,140,140,140
"期間全体",47,0,0,0,0,47,0,0,0,0,47,47,0,0,0,0,47,0,0,0,0,47,2024-07-27,47,47,47
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-28,0,0,0
"期間全体",39,96,0,0,0,39,40,55,0,0,135,39,96,0,0,0,39,40,55,0,0,135,2024-07-29,135,134,135
"期間全体",91,0,0,0,0,55,36,0,0,0,91,91,0,0,0,0,55,36,0,0,0,91,2024-07-30,91,91,91
"期間全体",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-31,0,0,0
